config,batch_size,prefill_time,decode_time,total_time,prefill_hit_rate,decode_hit_rate,tokens_per_second,throughput
Baseline,1,0.40424680709838867,2.077936887741089,2.6290876865386963,1.0,1.0,9.624931400944455,0.3803600789430275
Baseline,2,0.4362313747406006,15.0155508518219,15.45460319519043,0.0,0.0,2.6639049339403114,0.1294112812047101
Baseline,4,0.42220067977905273,15.02267050743103,15.446993589401245,0.0,0.0,5.325284872648152,0.25895006538648063
Baseline,8,0.4173145294189453,15.03096079826355,15.45089340209961,0.0,0.0,10.644695448775568,0.5177694125384935
Baseline,16,0.425555944442749,15.045228719711304,15.473177194595337,0.0,0.0,21.269201416709357,1.0340474873892531
Baseline,32,0.4227912425994873,15.075501680374146,15.501826047897339,0.0,0.0,42.45298190196722,2.064272937983359
Prefetch,1,0.3618946075439453,1.453711748123169,1.981443166732788,0.5528455284552846,1.0,13.757885650866637,0.5046826559496557
Prefetch,2,0.3708484172821045,13.600797176361084,13.97341251373291,0.0,0.0,2.9410040809609415,0.14312895994692942
Prefetch,4,0.37586069107055664,13.654486417770386,14.032562494277954,0.0,0.0,5.858880191633237,0.2850512870782565
Prefetch,8,0.3831675052642822,13.686617374420166,14.07190227508545,0.0,0.0,11.690251551784788,0.5685087803774861
Prefetch,16,0.38231468200683594,13.73430323600769,14.11909031867981,0.0,0.0,23.29932538266995,1.1332174834827504
Prefetch,32,0.388446569442749,13.677616357803345,14.068545818328857,0.0,0.0,46.79177886392958,2.2745776580767565
Fiddler,1,0.168928861618042,0.9412620067596436,1.3213272094726562,1.0,1.0,21.248068929129857,0.7568148092546293
Fiddler,2,0.23227930068969727,7.50717830657959,7.741974830627441,0.0,0.0,5.328233640719897,0.25833202041525
Fiddler,4,0.22278666496276855,10.03487253189087,10.260431051254272,0.0,0.0,7.972198923878669,0.3898471691899363
Fiddler,8,0.28858160972595215,13.652066230773926,13.9435715675354,0.0,0.0,11.719837663791477,0.5737410936109278
Fiddler,16,0.5061039924621582,19.087289094924927,19.59717035293579,0.0,0.0,16.765083737589748,0.8164444004847409
Fiddler,32,0.6721880435943604,27.9017596244812,28.57762098312378,0.0,0.0,22.937621448020057,1.1197573100608085
Fiddler+Prefetch,1,0.18725037574768066,1.457059621810913,1.8178138732910156,1.0,1.0,13.72627427225175,0.5501113258584472
Fiddler+Prefetch,2,0.22797179222106934,6.983515024185181,7.2138872146606445,0.0,0.0,5.72777460368779,0.27724303700443753
Fiddler+Prefetch,4,0.22860360145568848,8.96436333656311,9.195780277252197,0.0,0.0,8.924225513450862,0.43498211999419856
Fiddler+Prefetch,8,0.20142412185668945,11.944213390350342,12.148350954055786,0.0,0.0,13.39560796270293,0.6585255916836319
Fiddler+Prefetch,16,0.2660233974456787,17.248252868652344,17.51732063293457,0.0,0.0,18.55260370060904,0.9133816943396107
Fiddler+Prefetch,32,0.5586330890655518,26.49070644378662,27.052861213684082,0.0,0.0,24.15941610912047,1.1828693367122853
